alert_id,screened_name,list_entry,score,date_of_birth,country,resolution,cause
alr_000001,Juan Gonzalez Perez,Juan Gonzalez Perez,0.8577,1978-03-14,KR,false_positive,transliteracion
alr_000002,Wang Wei Chen,Wang Wei Chen,0.7092,,KR,false_positive,transliteracion
alr_000003,Olga Petrova Ivanova,Olga Petrova Ivanova,0.7627,1978-03-14,VN,false_positive,otras
alr_000004,Juan Gonzalez Perez,Juan Gonzalez Perez,0.8444,1985-11-02,CN,false_positive,transliteracion
alr_000005,Lopez Garcia Ana,Ana Garcia Lopez,0.9566,1990-07-21,CL,false_positive,entidad_generica
alr_000006,Rajesh Patel Kumar,Rajesh Patel Kumar,0.8312,1978-03-14,KR,false_positive,entidad_generica
alr_000007,Kim Min Jun,Kim Min Jun,0.8463,1978-03-14,MX,false_positive,entidad_generica
alr_000008,Olga Petrova Ivanova,Olga Petrova Ivanova,0.936,1985-11-02,KR,false_positive,sin_fecha_nacimiento
alr_000009,Ahmed Hassan Ali,Ahmed Hassan Ali,0.7642,1978-03-14,MX,false_positive,sin_fecha_nacimiento
alr_000010,Hassan Ahmed Ali,Ahmed Hassan Ali,0.8025,1978-03-14,IN,false_positive,sin_fecha_nacimiento
alr_000011,Carlos Mendez Rios,Carlos Mendez Rios,0.9553,1985-11-02,EG,false_positive,entidad_generica
alr_000012,Juan Gonzalez Perez,Juan Gonzalez Perez,0.8099,1978-03-14,IN,false_positive,transliteracion
alr_000013,Wei Chen Wang,Wang Wei Chen,0.7595,1985-11-02,MX,false_positive,otras
alr_000014,Ivanova Petrova Olga,Olga Petrova Ivanova,0.7892,,KR,false_positive,transliteracion
alr_000015,Lopez Garcia Ana,Ana Garcia Lopez,0.882,1990-07-21,EG,false_positive,transliteracion
alr_000016,Kim Min Jun,Kim Min Jun,0.9451,1985-11-02,CL,false_positive,apellido_frecuente
alr_000017,Lopez Garcia Ana,Ana Garcia Lopez,0.749,,KR,false_positive,sin_fecha_nacimiento
alr_000018,Garcia Lopez Ana,Ana Garcia Lopez,0.9585,1985-11-02,VN,false_positive,transliteracion
alr_000019,Carlos Mendez Rios,Carlos Mendez Rios,0.7137,,EG,false_positive,apellido_frecuente
alr_000020,Petrova Ivanova Olga,Olga Petrova Ivanova,0.9197,1990-07-21,MX,false_positive,apellido_frecuente
alr_000021,Wang Wei Chen,Wang Wei Chen,0.7769,1985-11-02,RU,false_positive,sin_fecha_nacimiento
alr_000022,Juan Gonzalez Perez,Juan Gonzalez Perez,0.8162,1985-11-02,EG,false_positive,otras
alr_000023,Nguyen Minh Van,Nguyen Van Minh,0.9007,,KR,false_positive,entidad_generica
alr_000024,Van Nguyen Minh,Nguyen Van Minh,0.9651,,KR,false_positive,apellido_frecuente
alr_000025,Maria Silva Costa,Maria Silva Costa,0.8106,1978-03-14,RU,false_positive,transliteracion
alr_000026,Costa Silva Maria,Maria Silva Costa,0.9119,,VN,false_positive,transliteracion
alr_000027,Mendez Rios Carlos,Carlos Mendez Rios,0.9786,1985-11-02,VN,false_positive,entidad_generica
alr_000028,Ana Garcia Lopez,Ana Garcia Lopez,0.7945,1990-07-21,EG,false_positive,entidad_generica
alr_000029,Costa Maria Silva,Maria Silva Costa,0.9153,,RU,false_positive,apellido_frecuente
alr_000030,Kim Jun Min,Kim Min Jun,0.9429,1978-03-14,CL,false_positive,transliteracion
alr_000031,Chen Wang Wei,Wang Wei Chen,0.9533,1978-03-14,EG,false_positive,apellido_frecuente
alr_000032,Wei Chen Wang,Wang Wei Chen,0.8047,1985-11-02,VN,false_positive,sin_fecha_nacimiento
alr_000033,Juan Gonzalez Perez,Juan Gonzalez Perez,0.9488,1985-11-02,IN,false_positive,entidad_generica
alr_000034,Kim Min Jun,Kim Min Jun,0.7423,,VN,false_positive,entidad_generica
alr_000035,Rajesh Kumar Patel,Rajesh Patel Kumar,0.8553,1990-07-21,KR,false_positive,otras
alr_000036,Olga Petrova Ivanova,Olga Petrova Ivanova,0.9677,,MX,false_positive,apellido_frecuente
alr_000037,Juan Gonzalez Perez,Juan Gonzalez Perez,0.7927,1978-03-14,VN,false_positive,transliteracion
alr_000038,Carlos Rios Mendez,Carlos Mendez Rios,0.9033,1990-07-21,VN,false_positive,sin_fecha_nacimiento
alr_000039,Maria Silva Costa,Maria Silva Costa,0.9112,1990-07-21,VN,false_positive,sin_fecha_nacimiento
alr_000040,Carlos Mendez Rios,Carlos Mendez Rios,0.9972,1978-03-14,VN,false_positive,sin_fecha_nacimiento
alr_000041,Nguyen Van Minh,Nguyen Van Minh,0.7347,,EG,false_positive,sin_fecha_nacimiento
alr_000042,Ahmed Hassan Ali,Ahmed Hassan Ali,0.7642,1990-07-21,IN,false_positive,sin_fecha_nacimiento
alr_000043,Maria Silva Costa,Maria Silva Costa,0.9005,1978-03-14,CN,false_positive,entidad_generica
alr_000044,Rajesh Kumar Patel,Rajesh Patel Kumar,0.8113,1978-03-14,RU,false_positive,otras
alr_000045,Juan Gonzalez Perez,Juan Gonzalez Perez,0.8813,1990-07-21,CL,false_positive,sin_fecha_nacimiento
alr_000046,Kim Min Jun,Kim Min Jun,0.9489,,KR,false_positive,sin_fecha_nacimiento
alr_000047,Juan Gonzalez Perez,Juan Gonzalez Perez,0.8096,1990-07-21,MX,false_positive,apellido_frecuente
alr_000048,Maria Silva Costa,Maria Silva Costa,0.8869,1978-03-14,EG,false_positive,sin_fecha_nacimiento
alr_000049,Maria Silva Costa,Maria Silva Costa,0.7681,1978-03-14,VN,false_positive,otras
alr_000050,Carlos Mendez Rios,Carlos Mendez Rios,0.9901,1990-07-21,VN,false_positive,entidad_generica
alr_000051,Ana Garcia Lopez,Ana Garcia Lopez,0.9675,1978-03-14,KR,false_positive,entidad_generica
alr_000052,Kim Min Jun,Kim Min Jun,0.9066,1985-11-02,KR,false_positive,transliteracion
alr_000053,Juan Gonzalez Perez,Juan Gonzalez Perez,0.8527,,MX,false_positive,otras
alr_000054,Ahmed Hassan Ali,Ahmed Hassan Ali,0.7601,1985-11-02,RU,false_positive,sin_fecha_nacimiento
alr_000055,Maria Silva Costa,Maria Silva Costa,0.7965,1990-07-21,VN,false_positive,entidad_generica
alr_000056,Kim Min Jun,Kim Min Jun,0.7895,1985-11-02,CL,false_positive,apellido_frecuente
alr_000057,Juan Gonzalez Perez,Juan Gonzalez Perez,0.7064,,KR,false_positive,sin_fecha_nacimiento
alr_000058,Kim Min Jun,Kim Min Jun,0.7241,1985-11-02,MX,false_positive,entidad_generica
alr_000059,Mendez Rios Carlos,Carlos Mendez Rios,0.8191,1990-07-21,EG,false_positive,sin_fecha_nacimiento
